review_id,product_name,rating,review
1,Wireless Earbuds,5,Amazing sound quality and battery backup!
2,Wireless Earbuds,4,Good earbuds but slightly overpriced.
3,Wireless Earbuds,5,Loved it! Very comfortable to wear.
4,Wireless Earbuds,3,"Average experience, sound could be better."
5,Wireless Earbuds,2,"Not satisfied, stopped working in a week."
6,Bluetooth Speaker,5,Great speaker with deep bass!
7,Bluetooth Speaker,4,Good product for this price range.
8,Bluetooth Speaker,3,"Sound is okay, nothing special."
9,Bluetooth Speaker,2,Battery drains quickly.
10,Bluetooth Speaker,1,"Very poor quality, not recommended."
11,Smart Watch,5,Excellent watch with accurate tracking!
12,Smart Watch,5,Worth the money! Stylish and smooth.
13,Smart Watch,4,Good features but battery average.
14,Smart Watch,3,"Decent, but strap quality could improve."
15,Smart Watch,2,"Not happy, display issues after a month."
16,Laptop Sleeve,5,Perfect fit and great protection.
17,Laptop Sleeve,4,Good quality material.
18,Laptop Sleeve,4,Useful and lightweight.
19,Laptop Sleeve,3,Okay but zip is not smooth.
20,Laptop Sleeve,2,"Bad stitching, not durable."
21,Phone Charger,5,Fast charging and quality cable.
22,Phone Charger,5,Works perfectly and charges fast.
23,Phone Charger,4,Good but cable length is short.
24,Phone Charger,3,Takes longer to charge sometimes.
25,Phone Charger,1,Stopped working within days.
26,Coffee Maker,5,Makes great coffee!
27,Coffee Maker,4,"Nice machine, easy to use."
28,Coffee Maker,3,"Average performance, noisy."
29,Coffee Maker,2,Takes time to heat up.
30,Coffee Maker,1,"Very bad product, broke after one use."
